Gene_ID,MCF7_ROSA26.KO_DMSO_rep1,MCF7_ROSA26.KO_DMSO_rep2,MCF7_ROSA26.KO_C70_rep1,MCF7_ROSA26.KO_C70_rep2,MCF7_ZBTB7A.KO_DMSO_rep1,MCF7_ZBTB7A.KO_DMSO_rep2,MCF7_ZBTB7A.KO_C70_rep1,MCF7_ZBTB7A.KO_C70_rep2
COX5B,224.569,218.838,240.124,227.882,234.721,217.309,234.371,213.404
RPL36A-HNRNPH2,1.06423,0.716004,0.171379,0.433811,0.186896,1.12304,1.31561,3.84E-06
DEPDC5,4.43337,4.41055,6.06957,10.8209,4.63328,4.46309,6.92833,2.68779
GPRC5B,0.10891,0.120207,0.245669,0.538348,0.531118,0.272036,1.10016,0.831584
CETN2,19.6995,20.7412,20.2278,20.4393,21.4436,22.7179,23.2381,20.6367
SSH1,4.31875,4.8411,4.63166,5.13003,4.97018,5.18566,4.7704,4.33706
NAPEPLD,4.63973,5.97662,4.68458,5.01205,4.6444,4.94272,4.1251,4.76661
HERPUD1,25.838,34.6728,27.9735,32.3242,33.2803,35.2513,43.5273,49.2949
BAX,110.199,109.557,110.821,113.141,100.617,110.503,117.639,96.683
BTN2A2,3.38023,2.47041,2.87139,2.54766,3.1289,2.52309,2.90424,2.4561
SLIT3,0,0,0,0.0150981,0.00695385,0.0217045,0.0363353,0.0081782
SNTG2,0.0498477,0.0347842,0.0335398,0,0.364402,0.446493,0.235132,0.107193
KRT33A,0,0,0,0,0,0,0,0
GPR61,0.0112815,0.00589797,0.017117,0.0134773,0.0433631,0.0269765,0.00722571,0.00728518
CD3D,0,0,0,0,0,0,0,0
OGFOD3,12.9195,13.784,13.2553,13.0279,11.8276,12.3917,11.1946,11.1392
FMO5,0.76591,0.795836,0.516705,0.794769,0.370051,0.305777,0.340759,0.538295
DNAJC21,17.0105,16.0652,17.2995,17.6149,14.1745,13.8944,14.618,13.692
PKN2,11.3168,10.2405,11.9716,10.2593,11.145,9.48175,9.61774,9.12891
ITPA,29.0874,23.752,24.2213,22.1847,20.4533,24.6098,20.0386,16.8259
RCAN2,0.00906125,0,0,0,0.14,0,0.161409,0.0351115
RDH11,43.1981,41.992,38.2067,37.5257,40.9915,41.6563,49.6666,40.3797
GLTP,29.3373,24.2368,24.4672,20.5219,16.3677,17.9021,15.5142,14.0865
ZNF334,0,0.0141601,0,0,0,0,0,0
CDH15,0.0720103,0.107611,0.187124,0.196278,0.282256,0.216777,0.475253,0.385137
MT-ND6,684.712,1054.94,836.4,1069.79,750.637,1026.59,892.5,1022.59
BCL2A1,0,0.0567065,0,0,0.235551,0.157207,0,0.0694109
CCDC71L,3.90894,1.22142,3.24169,1.55334,2.99509,1.96206,1.50531,1.20844
EXOSC9,17.3841,20.8491,17.1351,19.8628,18.4586,20.1219,19.3847,21.4904
ZNF143,6.97925,7.16068,7.61979,7.46459,6.69301,9.27907,7.09402,7.07177
DSTYK,4.72063,3.23122,4.03545,2.97446,3.80708,3.221,3.30725,2.93787
SUPT5H,37.6898,38.0208,38.6507,41.3104,37.7168,42.258,38.3614,42.11
ZNF488,0.476324,0.117346,0.450762,0.143484,0.307954,0.323425,0.267172,0.165579
TLE1,19.3825,16.1793,18.207,14.8103,14.9747,16.5705,16.8302,15.5843
CLIP3,0.342071,0.507746,0.520416,0.436368,0.769022,0.974428,0.767963,0.489737
AASDH,3.66623,3.24137,3.56499,3.01175,3.46875,3.37546,2.80977,2.22052
CACTIN,7.11705,5.49141,6.03846,6.04419,5.83013,4.93721,5.38456,4.92974
B3GALTL,1.0559,1.03514,0.840925,0.748686,0.804364,0.757686,1.16704,1.09088
CDH9,0,0,0,0,0,0,0,0
UPF3A,13.4646,12.1471,13.5256,12.3154,13.23,12.4968,10.355,11.3271
GJB5,0.302989,0.105803,0.22895,0.0299368,0.193578,0.0971822,0.130366,0.0976564
SKP2,9.57542,11.7907,8.14558,9.93586,11.4408,9.60382,9.3371,8.65229
ZNF595,55.4338,55.3692,62.4065,50.3572,54.3345,70.603,62.4314,52.821
NRSN2,18.2408,19.3404,19.368,16.707,28.9586,27.4829,29.2864,26.9666
NEIL1,1.00288,2.16221,1.71446,1.85899,2.83296,1.70647,3.4557,4.11377
MED8,12.0166,11.1248,11.3556,10.3984,10.1425,10.4051,11.1206,9.84954
ARL4D,1.9585,1.20506,1.83269,1.79894,1.61543,1.39667,1.61267,1.7709
SHF,0.522959,0.426355,0.53283,0.539408,1.43851,0.922285,1.2573,1.43638
ELFN1,0,0,0.0767347,0.0724749,0.0916548,0.142469,0.0318056,0.0391973
NPM2,0.106532,0,0,0,0,0,0,0
HIST1H2AH,0.347625,0.185529,0,0.200919,0.569853,0.691041,0.235403,0.441704
HYI,2.79631,3.39238,4.04717,3.35385,2.39478,2.29971,3.31806,2.82459
