Gene_ID,MDAMB436_ROSA26.KO_DMSO_rep1,MDAMB436_ROSA26.KO_DMSO_rep2,MDAMB436_ROSA26.KO_C70_rep1,MDAMB436_ROSA26.KO_C70_rep2,MDAMB436_ZBTB7A.KO_DMSO_rep1,MDAMB436_ZBTB7A.KO_DMSO_rep2,MDAMB436_ZBTB7A.KO_C70_rep1,MDAMB436_ZBTB7A.KO_C70_rep2
ACBD5,20.4466,20.0423,23.518,20.6931,19.5455,19.7845,18.6233,20.9077
ITM2A,0,0,0,0,0,0,0,0
CSRP2,24.8909,29.1333,33.9043,34.7304,26.7924,25.7202,41.0296,39.2218
ZNF568,1.0187,1.41707,1.21851,1.67095,1.25243,1.22405,0.890607,2.87195
TMEM50A,18.5334,19.069,19.6185,17.5334,17.3115,19.3671,19.8522,19.906
ENKD1,5.25671,5.44397,5.87629,5.37595,6.38128,7.04307,6.57874,6.02452
AKAP10,6.76819,5.9817,7.1483,6.95502,5.62847,4.83373,7.96153,7.10886
GATA4,5.55486,6.59663,5.69048,6.30832,5.69634,5.7955,6.25292,5.0158
PPCDC,6.38604,4.65735,9.31477,4.16132,4.64486,4.82823,3.92096,6.32868
LRP5L,1.89169,2.176,1.36237,1.61941,1.26076,1.42498,1.3402,1.86584
ITPK1,39.4566,39.9231,43.1059,36.1426,34.8694,42.3275,47.6897,40.9828
KRTAP9-8,0,0,0,0,0,0,0,0
TROAP,51.6525,36.5262,54.1028,50.2252,45.9368,34.7087,44.9038,39.4861
PM20D2,6.34579,6.22225,6.75718,6.25013,6.75715,6.29516,6.35838,6.10087
IL11,2.26696,1.97,6.71882,5.34939,8.10567,7.56164,13.5023,10.6997
AHCTF1,27.8441,32.6856,27.7798,30.1623,29.1713,35.8608,30.693,27.7069
CILP,0.0196542,0.0107415,0.0113504,0.0114196,0.074279,0.0336435,0.114236,0.0221835
MRPS15,88.6335,86.7915,83.5448,86.4889,80.0435,86.4798,74.4666,78.8434
CENPI,10.4847,10.3463,8.13235,8.30836,9.77984,8.70107,9.0335,11.4097
PADI3,0.12779,0.0620153,0.0654974,0.0658687,0.0765237,0.0323887,0.0495087,0.0480526
FAM24A,0,0,0,0,0,0,0,0
IFRD2,44.9534,43.5755,46.5967,45.4794,40.5133,45.3117,41.8811,38.4065
ANO3,0,0.0159036,0,0.0168886,0,0.0166142,0,0.0164326
EVI5,1.76858,2.49402,1.93585,1.9023,1.86821,1.21238,1.32706,1.89309
GRIN1,0.0525916,0.0229903,0.102086,0.064388,0.0567725,0.0262484,0.0244536,0.0980852
AFAP1L2,0.123222,0.266606,0.456288,0.217191,0.0907568,0.173572,0.411539,0.478493
DIO3,0.137914,0.150272,0.105699,0.29207,0.148127,0.288048,0.454015,0.543938
ADAMTS9,6.96145,6.78709,6.21459,5.79322,3.71751,3.4241,4.60743,3.15805
GRAP,0,0,0,0.0202794,0,0,0,0.0902601
PEBP1,104.319,104.121,98.6669,91.0605,91.1589,91.2467,88.4873,85.8705
CARD6,1.02239,1.21828,0.98687,0.968437,0.944696,0.96762,0.762942,0.975896
DERL2,19.9394,19.3704,19.8348,18.6076,18.448,22.986,20.042,19.8842
PLXNA2,0.771224,0.665039,0.808525,0.784273,0.645841,0.635683,0.757138,0.93483
DDT,65.1433,69.1852,71.6614,75.652,75.3023,72.1802,76.5589,76.6457
RELL1,5.62985,6.49868,5.37663,7.5617,7.08537,6.77171,5.32331,5.92938
CPE,3.45681,1.68054,3.56372,3.65464,3.38424,2.42882,4.47388,4.00706
SLC38A5,0.073743,0.212952,0.0853976,0.166924,0.13317,0.167983,0.0856713,0.249246
OR1A1,0,0,0,0,0,0,0,0
PPP4R1,16.8813,17.0015,15.2396,14.9494,16.9855,17.9888,18.6339,15.6278
LIPI,0.0331564,0.0720848,0,0,0,0,0,0
SARNP,40.2228,43.6303,39.2683,41.1754,41.7947,40.7598,42.2263,41.8785
CCHCR1,8.77548,7.99928,11.4296,7.32148,11.3237,10.2018,11.6939,13.3576
ANKRD12,7.25849,7.34578,6.65532,7.56764,8.66743,7.53034,7.93687,5.76142
