Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
HID1,62.486,53.8299,19.6219,47.5715,78.2557,69.3542,60.1023,56.0279
MTFR1L,12.7755,11.8187,4.97977,11.7507,17.7782,15.5862,17.7024,14.7859
FRMD4A,3.15524,3.29438,0.892601,3.0112,2.7757,2.86282,1.61532,2.45253
SOCS4,4.44287,3.97589,1.26721,4.2348,4.89281,3.90675,4.51203,4.87753
KIF6,0.0385481,0.24986,0.0218292,0.0985866,0.1558,0.186159,0.261198,0.168591
ABCA12,4.93077,3.42903,0.590898,4.0574,3.35024,2.86904,5.40943,4.20679
IRGC,0,0,0,0,0,0,0,0
TICAM1,3.11938,2.68975,1.14568,2.48728,2.40714,2.90036,2.45914,2.97976
BCORL1,3.48254,3.45664,1.10284,3.14735,4.1401,4.54372,4.09818,3.84448
AC073569.1,0,0,0,0,0,0,0,0
FMN1,17.4295,11.7247,3.32708,9.50176,16.0727,10.9531,10.3629,14.1272
GOLGA8O,0.114052,0.203442,0.00938621,0.252083,0.143865,0.223945,0.183147,0.178838
CCR7,0.0631656,0.181877,0,0.128135,0.0698145,0.234011,0.103791,0.0282921
BIN1,0.656454,0.666494,0.589032,0.382146,1.30315,0.868825,1.75995,1.64763
CHST2,0,0,0,0,0,0,0.0148775,0
KRTAP6-2,0,0,0,0,0,0,0,0
AC092964.2,0,0,0,0,0,0,0,0
AL035406.1,0,0,0,0,0,0,0,0
CAND2,0.718362,0.600899,0.12286,0.271446,1.63675,2.12107,1.12141,1.00553
FAM131A,25.2118,24.4274,9.16452,18.3702,19.5502,27.0708,20.7762,18.4452
MAN2C1,14.4467,13.225,10.7249,14.6489,13.349,13.2643,12.0511,11.9848
TRIM58,0.120191,0.10086,0.130581,0.231219,0.0147519,0.016551,0.0164373,0.104753
MST1,2.1154,2.08032,6.87394,2.04121,3.15907,0.522888,4.40053,2.11012
KIAA1958,2.29524,2.30274,0.356753,1.65844,1.90559,1.54005,1.49042,1.07201
FAM187B,0,0,0,0,0,0,0,0
IGLON5,0.187181,0.0367325,0.0414216,0.121286,0.394844,0.252641,0.56579,0.362594
SEMA3D,0.91747,0.4734,0.263807,0.36204,0.766084,0.435763,0.510776,0.165475
C7orf49,12.1435,12.7037,8.93579,14.1562,12.2403,13.7842,11.2965,14.6663
C1orf64,1.19934,0.770304,0.522975,0.785189,1.29337,1.30888,0.808492,1.07218
ZNF224,4.35543,3.67869,0.871428,1.73579,2.57044,3.9354,3.42752,2.73533
GDF7,0,0,0,0,0,0,0,0
HIST2H4B,13.1095,9.68581,19.0263,14.3777,10.6604,9.5054,11.9028,11.3685
HGSNAT,16.8359,14.1767,2.37099,14.2847,15.7998,15.2196,17.6793,11.6235
AMIGO2,2.25076,1.76199,1.04675,1.70944,2.97457,2.05702,3.16565,2.89352
PSMC4,74.9706,88.4918,64.3091,84.9539,71.3136,84.6789,65.1062,75.7426
PECR,6.38337,5.26834,9.75583,6.44415,7.65057,5.23913,7.08326,6.3407
AL160286.1,0,0,0,0,0,0,0,0
B4GALT5,5.63015,5.86326,2.64416,5.92817,6.3917,5.45447,9.205,6.94159
