Gene_ID,SUM149_DMSO_day2_rep1,SUM149_DMSO_day2_rep2,SUM149_DMSO_day2_rep3,SUM149_C70_day2_rep2,SUM149_C70_day2_rep3,SUM149_DMSO_day7_rep1,SUM149_DMSO_day7_rep2,SUM149_DMSO_day7_rep3,SUM149_C70_day7_rep1,SUM149_C70_day7_rep2,SUM149_C70_day7_rep3,SUM149CR_DMSO_day2_rep1,SUM149CR_DMSO_day2_rep2,SUM149CR_DMSO_day2_rep3,SUM149CR_C70_day2_rep1,SUM149CR_C70_day2_rep2,SUM149CR_C70_day2_rep3,SUM149CR_DMSO_day7_rep1,SUM149CR_DMSO_day7_rep2,SUM149CR_DMSO_day7_rep3,SUM149CR_C70_day7_rep1,SUM149CR_C70_day7_rep2,SUM149CR_C70_day7_rep3
LHB,0,0,0.102616,0.556879,0.456033,0.106554,0,0.242675,0.403024,0.678616,0.708783,0.149599,0.311637,0,0.102081,0.422961,0,0.279412,0.0672382,0,0.405296,0.518593,0.301349
ZNF550,3.9407,3.16573,3.32744,2.59736,2.81669,3.51401,3.30037,3.5567,3.15441,3.20077,3.78095,3.28719,2.5742,3.13621,3.33838,2.24875,2.86042,2.87392,3.24049,3.86487,2.7331,3.26242,2.95234
FMNL1,13.1772,13.1881,15.106,10.959,13.7288,12.646,14.3014,16.1428,11.7357,11.5879,12.8033,6.68556,6.99436,7.75888,5.38806,4.44231,5.99512,7.46395,8.03024,9.23098,6.2033,7.25537,7.77331
MAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189999,0,0,0
GAP43,0,0,0,0.0161913,0,0,0.0163499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145764,0,0.0133311
EIF4A2,129.477,93.4613,131.304,95.4816,114.846,128.043,124.679,110.231,118.583,133.726,105.198,126.818,100.47,113.773,129.032,103.619,113.153,147.352,117.566,107.798,116.819,121.931,91.5298
BMP3,0,0,0.00452673,0,0,0,0.0085494,0.0110883,0,0,0,0,0.0035952,0,0,0,0,0.00867093,0,0,0,0,0.0034782
CPT1A,32.7989,31.1066,35.1759,29.378,32.2684,38.6322,34.4938,33.4321,28.1696,28.9806,25.8345,34.5168,32.3667,32.1877,31.7867,33.6561,37.2387,41.1188,38.4845,36.4039,31.9218,31.8562,36.6103
ACVR2B,1.47109,1.38503,1.58557,1.25578,1.45781,1.80031,1.46338,1.36938,1.45817,1.22813,1.34322,1.5623,1.45822,1.50341,1.57748,1.46047,1.55106,1.60703,1.43275,1.54568,1.4859,1.50909,1.53433
SRM,115.782,124.328,108.555,128.024,172.365,75.6529,114.947,93.0758,101.115,120.972,97.9556,98.8359,108.245,94.7034,92.4124,87.8614,96.8069,68.719,106.801,84.2486,85.6795,101.696,101.046
ALDH3A1,0.197804,0.263818,0.152634,0.17696,0.401421,0.29777,0.125689,0.39953,0.150339,0.324123,0.291971,0.190923,0.142933,0.344114,0.143241,0.122539,0.189645,0.17715,0.301544,0.276001,0.15777,0.159282,0.1309
EN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf15,0,0.0526952,0.0286331,0.0528683,0,0.0301246,0.0265876,0.0694375,0.0713225,0.341966,0.201458,0.0218243,0.0224616,0.0905778,0.0875798,0.152496,0.094488,0,0.0982441,0.0589635,0,0.0892848,0.0217159
PTPRG,2.55612,2.83211,2.87149,3.33059,2.65136,3.43096,3.27126,3.51053,3.23516,3.62667,3.5613,1.75755,2.11118,2.25219,1.92155,2.22132,2.62945,2.76278,2.50664,2.76629,2.18664,2.38883,2.75171
TTC29,0,0,0,0,0,0,0,0,0,0.0217986,0.0427715,0,0,0,0,0,0.016855,0,0,0,0.0151579,0,0.0138647
SRC,10.5077,11.1863,12.2857,11.7857,14.8103,9.08319,11.8807,10.8739,10.2453,12.4369,10.3193,8.39967,8.99832,9.28408,8.14387,8.03542,8.97973,7.4955,8.80569,8.52563,8.09265,9.69458,9.73799
SAR1B,15.6675,15.0182,11.419,14.231,8.6473,16.9109,12.9006,18.0359,15.7577,10.9576,13.0331,17.3157,17.3192,10.2302,16.1548,17.8077,13.5548,20.3219,15.1284,16.9046,17.6694,10.8218,18.5363
DENND2C,0.451653,0.504862,0.5002,0.652986,0.275193,0.725591,0.40718,0.545327,0.86389,0.998291,0.962715,0.452112,0.658358,0.393934,0.568352,0.625038,0.592851,0.540211,0.44783,0.619646,0.647791,0.687663,0.684944
ADAMTS13,0.0802653,0.0294089,0.0738941,0.0949076,0.174588,0.13394,0.0699968,0.228527,0.124953,0.185659,0.28805,0.142811,0.134894,0.230535,0.119506,0.0576772,0.0900713,0.190389,0.0695497,0.286065,0.13935,0.281461,0.0930341
NEK8,1.5401,2.15817,2.0781,2.2601,2.15282,2.51778,1.80093,4.22562,2.21157,2.16711,3.28656,1.85186,2.22382,2.38058,1.85982,1.40576,1.47672,3.06297,2.1855,3.951,2.61891,2.5351,2.79682
FAM111B,9.33024,10.5344,11.012,14.7377,10.0524,10.142,12.3562,10.0507,13.9819,16.1482,13.968,12.4255,13.185,13.685,15.2973,18.9874,20.4745,9.67275,14.043,12.1289,15.1842,15.6625,16.7971
ACBD7,1.00613,0.91563,0.803919,0.787167,0.690189,1.36939,1.05752,1.00553,0.808398,0.829041,0.860836,1.10323,1.05995,1.47323,1.13513,0.959529,1.43897,1.74566,1.38418,1.61267,1.23715,0.812723,0.91702
INTS10,22.3709,24.7544,28.4882,24.4767,22.9675,22.0738,26.4787,21.8003,23.2362,28.6645,21.9134,22.9818,22.2586,21.1909,21.0697,23.5642,26.1602,21.9879,24.2548,20.435,19.8886,23.0657,24.1485
PDXDC1,33.2567,35.2182,40.8881,38.0342,39.2974,34.6691,41.4343,37.0964,34.121,42.534,35.9683,36.9525,39.4685,40.798,35.5927,38.0951,45.5436,40.7105,42.9611,39.1778,38.1397,40.0353,39.3265
AKAP1,26.7427,27.0944,26.8991,27.7154,33.0102,27.7594,24.0811,26.4347,26.774,24.8433,27.1516,31.7333,30.5861,28.8296,31.5586,32.8084,29.0406,32.9808,28.6293,31.6951,33.1628,28.9008,34.2102
PCDHB5,0.00958903,0,0,0.00873851,0,0,0,0.0114941,0,0.00202479,0,0,0,0,0.0096564,0,0,0,0,0,0,0.00492686,0
CC2D2A,4.64413,4.38432,4.41626,4.39503,4.11948,3.12098,4.79053,3.2972,3.43738,4.4522,4.47181,3.06838,3.16664,3.46769,2.93001,3.5474,4.00433,2.49673,4.40383,3.80983,2.70866,3.69423,3.0528
ANKRD37,2.04473,2.24932,2.40692,3.57307,3.73324,2.33536,2.24205,2.5718,3.70441,3.31808,3.09058,3.04593,2.1833,2.20583,2.63877,1.99528,2.80758,2.12266,2.41416,2.47688,2.99571,2.59459,2.85942
AP000721.4,1.99E-24,3.79E-46,2.14E-126,0.0815524,4.65E-20,1.09E-230,0.0806062,0.212454,4.69E-47,3.45E-277,1.48E-130,0.0860314,3.64E-21,8.88E-104,3.21E-155,0.0502754,5.24E-109,0,5.08E-12,0.267965,0.147565,0.273708,1.91E-15
LTC4S,0,0,0,0,0.0720044,0,0,0.22775,0,0,0,0.0945045,0,0,0,0,0,0,0,0.127574,0,0,0
GLOD4,33.0908,36.0462,36.3991,34.1139,44.6199,37.6555,38.7486,35.3599,31.9084,34.6584,31.9549,33.0724,32.4264,34.8704,28.8003,33.7091,37.8395,40.7184,36.1019,35.0778,31.7037,30.9684,35.8924
ANGPTL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS6ST1,4.75414,4.46704,5.17041,5.85242,7.34616,4.32566,4.80479,4.87936,4.89598,5.93359,5.01861,4.76662,4.40196,4.85681,5.42564,4.62376,5.35284,4.64129,4.86355,4.46944,5.04676,5.3529,5.44105
DLD,46.1892,46.1835,49.6018,43.9599,41.6481,49.7328,50.2684,47.7282,44.7602,49.8105,45.6957,56.7656,53.3084,52.3396,50.8599,56.6425,61.8641,62.5057,58.0983,55.8921,49.4266,48.6545,57.4578
NEUROD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804052,0,0,0,0,0
PLEKHG2,6.42179,5.45863,6.43251,8.11701,8.82989,7.45975,5.44749,6.30838,8.53522,7.77159,7.2288,7.18542,6.65485,6.66138,8.28882,5.78009,7.8155,5.86893,6.12734,6.15125,9.06997,9.10894,8.15949
EMP2,21.3839,21.8787,23.6728,22.8722,24.3841,28.8162,20.7182,26.1161,24.3075,21.0347,24.3027,30.8595,30.9803,27.5342,31.6111,33.817,30.7664,35.7223,28.0819,30.3232,33.805,27.5489,36.9836
RPS5,414.881,413.513,340.505,412.09,407.435,384.983,346.742,374.217,382.697,371.318,356.391,465.529,429.349,311.636,407.731,399.763,359.753,490.387,373.84,353.162,442.797,372.256,470.165
CDH5,0.0151838,0.0477353,0.0149279,0.0508637,0,0.00679451,0,0.0078727,0.0326841,0.0388415,0.0974346,0.0303286,0.079045,0,0.0751754,0.0731979,0.0229646,0.0285388,0.0245014,0.0201984,0.0746652,0.062423,0.103696
UPP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX17,63.7906,66.5762,55.7702,72.0966,68.7507,64.0315,52.6495,67.0484,59.1558,52.232,61.4568,63.1984,67.1445,49.9729,65.6839,67.4249,58.5255,63.2884,57.6621,62.3828,73.3493,54.8141,71.7578
IRF2,11.6363,8.01361,14.2274,8.13751,13.3644,12.4688,11.3911,10.8079,9.25022,11.5478,8.93883,10.3763,8.60468,10.4061,11.3958,8.97199,12.0458,10.7356,12.8023,10.2908,10.5202,12.1801,10.0397
KIF4A,18.1271,17.2829,17.9531,18.5659,15.3192,16.7395,17.9129,16.6808,16.6725,19.4076,17.4694,17.2181,16.8981,16.5384,17.9239,18.3214,19.6644,13.1939,19.2611,16.5792,15.6865,17.2489,18.8296
