Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
HSFX1,0.105253,0.0785376,0.0920238,0.074135,0.0684918,0.0517251,0.0719345,0.0662432,0.114286,0.171707,0.149866,0.114844,0.0539605,0.0673808,0.05346,0.099983
AL591806.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB11FIP4,0.696548,1.2171,1.22643,1.33032,1.00026,1.24503,1.31087,1.12439,1.43473,1.08987,1.55955,1.29749,1.16342,1.37682,1.26054,0.939047
ADRA1D,0.0108772,0.022152,0.0486602,0,0.0193528,0,0.0168882,0,0.0124089,0.0151376,0.0140862,0.0373992,0.101568,0.0678466,0.0753885,0.105875
TAF7L,0.0560867,0,0.0209317,0.027303,0.037907,0.0266772,0.0442136,0.0407178,0.0480086,0.0197806,0.0515735,0.0162884,0.0497634,0.0354905,0.0229914,0
BTNL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPAP2A,1.59105,1.50614,1.91783,2.32891,1.6063,1.95641,2.20424,2.53347,1.53817,1.39733,2.07738,2.53663,1.37237,1.35249,1.78194,1.88845
TSPAN19,0.115772,0.108368,0,0.0690886,0.0312581,0,0.166283,0.277276,0,0.147949,0.0920205,0.162084,0,0.0443565,0.0819847,0.0381287
PCDH11X,0,0,0,0,0,0,0.00229101,0,0,0,0,0,0,0.00892654,0,0.0155022
NDUFAF5,19.7149,19.5086,19.7343,21.4775,18.5522,19.2142,17.2372,21.1066,16.1876,16.6177,18.8651,16.449,16.5178,17.5724,17.7643,16.3243
HSPA6,0.14323,0.213173,0.15609,0.179531,0.269537,0.236592,0.188186,0.197276,0.125695,0.291343,0.192631,0.138906,0.257206,0.192436,0.190916,0.232361
CBLN3,0.796895,0.79023,0.657626,0.290124,0.515246,0.372057,0.508843,0.3789,1.10888,0.841591,0.686238,0.360922,0.778833,0.581654,0.50941,0.547247
GGNBP2,23.5484,24.4887,24.4013,26.3309,25.2515,24.9562,25.3825,24.9991,24.2801,25.5607,25.4814,26.1907,23.3702,25.3732,26.5586,26.0746
FKBP4,175.83,192.301,173.063,144.499,183.964,179.535,184.867,173.89,188.042,190.513,174.417,179.409,206.028,208.198,200.788,205.952
C9orf72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLIG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCM3,69.5644,75.2227,84.0835,70.6168,69.7768,70.3073,84.223,78.2288,71.3986,72.0545,83.7857,83.7327,72.9061,79.3273,94.7924,96.2299
AC016885.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGCLL1,0.108623,0.103063,0.323078,0.160926,0.096615,0.032403,0.0737197,0.185957,0.0275419,0.0736101,0.191949,0.192507,0.119026,0.0492988,0.0832009,0.104433
WBP2,28.6787,33.805,35.3133,27.4203,28.9581,23.4594,35.1482,31.6258,30.4505,31.1127,31.001,33.4613,27.6789,27.5621,28.3629,30.8611
SAFB,33.317,40.2972,37.5459,31.6376,36.3135,36.8911,38.3606,36.5188,37.6872,39.1564,41.8608,41.7646,38.4603,41.9529,42.0226,42.2995
ANAPC7,23.3919,24.8923,23.5778,24.8157,23.8392,23.0856,25.1481,21.6765,21.7039,21.477,22.3752,23.3455,22.2316,23.8484,23.0019,22.7329
ZNF276,3.74665,3.78749,4.33845,3.72346,3.62581,3.39212,4.4812,3.90853,3.50871,3.7496,4.45088,3.62517,3.92077,4.19622,3.98978,3.86633
OR8H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB1CC1,20.4818,22.1832,22.8842,28.1489,20.5876,22.027,21.7724,19.5587,19.8197,20.7931,20.3084,20.9889,24.0643,24.1262,25.2042,25.0516
PILRA,2.51672,2.1286,3.40247,3.70832,1.88176,2.87771,2.37502,3.16111,1.71764,3.24397,3.54505,2.19997,2.63943,2.57984,2.44643,2.6422
